rfr_id,INCIDENT_NUMBER,UCR_CATEGORY
386,80-10-038790,Robbery
387,80-10-039146,Narcotics
388,80-10-039146,Narcotics
389,80-10-039952,Narcotics
390,80-10-039952,Narcotics
391,80-10-042012,Wpns Law Violation
392,80-10-042024,Stolen Property
393,80-10-042046,Wpns Law Violation
394,80-10-023001,Aggravated Assault
395,80-10-023001,Aggravated Assault
396,80-10-023399,Wpns Law Violation
397,80-10-026207,Narcotics
398,80-10-027834,Wpns Law Violation
399,80-10-028199,Robbery
400,80-11-003713,Aggravated Assault
401,80-12-094577,Wpns Law Violation
402,80-11-072246,Narcotics
403,80-12-069225,Wpns Law Violation
404,80-11-003713,Aggravated Assault
405,80-10-076935,Wpns Law Violation
406,80-11-039715,All Other Offenses
407,80-10-086485,Aggravated Assault
408,80-10-086485,Aggravated Assault
409,80-11-029194,Wpns Law Violation
410,80-11-025637,Wpns Law Violation
411,80-11-026043,Wpns Law Violation
412,80-10-095933,Robbery
413,80-10-095933,Robbery
414,80-10-095933,Robbery
415,80-10-094855,Wpns Law Violation
416,80-11-095533,Accidental Shooting
417,80-11-097670,Wpns Law Violation
418,80-11-103547,Wpns Law Violation
419,80-12-009330,Wpns Law Violation
420,80-12-009330,Wpns Law Violation
421,80-12-032664,Wpns Law Violation
422,80-12-036877,Robbery
423,80-12-039580,Wpns Law Violation
424,80-12-039587,Wpns Law Violation
425,80-12-039587,Wpns Law Violation
426,80-12-039587,Wpns Law Violation
427,80-12-039587,Wpns Law Violation
428,80-11-091082,Stolen Property
429,80-12-083114,Stolen Property
430,80-12-083734,Simple Assault
431,80-12-097203,Robbery
432,80-12-099405,Wpns Law Violation
433,80-12-101924,Intimidation
434,80-13-022678,Accidental Shooting
435,80-13-023228,Wpns Law Violation
436,80-13-025530,Wpns Law Violation
437,80-11-076924,Intimidation
438,80-11-076924,Intimidation
439,80-11-101248,Wpns Law Violation
440,80-10-097007,Wpns Law Violation
441,80-11-097257,Wpns Law Violation
442,80-11-103111,Aggravated Assault
443,80-11-103111,Aggravated Assault
444,80-11-103111,Aggravated Assault
445,80-11-103111,Aggravated Assault
446,80-11-103547,Wpns Law Violation
447,80-12-009184,All Other Offenses
448,80-12-010425,Intimidation
449,80-12-021577,Aggravated Assault
450,80-12-026778,Robbery
451,80-12-029460,Vandalism
452,80-12-051860,Kidnapping Only
453,80-12-069225,Wpns Law Violation
454,80-11-099694,Wpns Law Violation
455,80-12-035576,Wpns Law Violation
456,80-11-043784,Narcotics
457,80-12-047305,Wpns Law Violation
458,80-13-045271,Narcotics
459,80-13-045271,Narcotics
460,80-13-045271,Narcotics
461,80-13-045271,Narcotics
462,80-13-045271,Narcotics
463,80-13-045271,Narcotics
464,80-13-045271,Narcotics
465,80-13-045271,Narcotics
466,80-13-045271,Narcotics
467,80-13-039034,Wpns Law Violation
468,80-13-045271,Narcotics
469,80-13-045271,Narcotics
470,80-13-045271,Narcotics
471,80-13-045271,Narcotics
472,80-13-045271,Narcotics
473,80-13-045271,Narcotics
474,80-13-045271,Narcotics
475,80-13-045271,Narcotics
476,80-13-045271,Narcotics
477,80-13-045271,Narcotics
478,80-13-045271,Narcotics
479,80-13-045271,Narcotics
480,80-13-045271,Narcotics
481,80-13-045271,Narcotics
482,80-13-045271,Narcotics
483,80-11-085669,Wpns Law Violation
484,80-12-000915,Aggravated Assault
485,80-11-098860,Stolen Property
486,80-13-012301,Wpns Law Violation
487,80-13-035305,Narcotics
488,80-13-035305,Narcotics
489,80-13-035305,Narcotics
490,80-13-035305,Narcotics
491,80-13-035305,Narcotics
492,80-13-035305,Narcotics
493,80-13-032705,Narcotics
494,80-13-032705,Narcotics
495,80-12-001399,Stolen Property
496,80-12-008780,Aggravated Assault
497,80-13-045370,Wpns Law Violation
498,80-12-036805,Narcotics
499,80-12-036805,Narcotics
500,80-12-036805,Narcotics
501,80-12-036805,Narcotics
502,80-12-014823,Wpns Law Violation
503,80-12-010720,Aggravated Assault
504,80-13-038809,Aggravated Assault
505,80-13-053491,Stolen Property
506,80-13-053093,Narcotics Equip
507,80-12-088401,Injured Person Report
508,80-11-043784,Narcotics
509,80-12-075519,Theft Other
510,80-11-047065,Aggravated Assault
511,80-12-090502,Wpns Law Violation
512,80-11-047065,Aggravated Assault
513,80-13-012132,Narcotics
514,80-11-047065,Aggravated Assault
515,80-11-014512,Wpns Law Violation
516,80-11-022542,Narcotics
517,80-11-033862,Wpns Law Violation
518,80-11-046920,Wpns Law Violation
519,80-10-093555,Wpns Law Violation
520,80-11-054112,Narcotics
521,80-10-098157,Aggravated Assault
522,80-11-010736,Narcotics
523,80-11-010736,Narcotics
524,80-10-083785,Wpns Law Violation
525,80-10-083785,Wpns Law Violation
526,80-11-014240,Narcotics
527,80-11-014240,Narcotics
528,80-11-029859,Wpns Law Violation
529,80-11-014513,Narcotics
530,80-11-050689,Robbery
531,80-11-073392,Wpns Law Violation
532,80-11-058966,Narcotics
533,80-11-058966,Narcotics
534,80-11-058966,Narcotics
535,80-11-058966,Narcotics
536,80-11-046768,Wpns Law Violation
537,80-11-004906,Wpns Law Violation
538,80-11-010764,Wpns Law Violation
539,80-10-080743,Narcotics
540,80-11-012223,Robbery
541,80-11-012223,Robbery
542,80-11-012223,Robbery
543,80-11-012223,Robbery
544,80-11-012223,Robbery
545,80-11-012223,Robbery
546,80-11-012223,Robbery
547,80-11-012223,Robbery
548,80-11-012223,Robbery
549,80-10-076964,Wpns Law Violation
550,80-11-049395,Wpns Law Violation
551,80-10-080128,Narcotics
552,80-10-099107,Aggravated Assault
553,80-10-099107,Aggravated Assault
554,80-11-000205,Aggravated Assault
555,80-11-014004,Narcotics
556,80-11-014004,Narcotics
557,80-11-005586,Burglary
558,80-11-061824,Intimidation
559,80-12-047728,Burglary
560,80-13-012250,Aggravated Assault
561,80-12-061162,Robbery
562,80-12-059435,Wpns Law Violation
563,80-11-091082,Stolen Property
564,80-13-008383,Wpns Law Violation
565,80-12-063493,Aggravated Assault
566,80-13-008383,Wpns Law Violation
567,80-12-063493,Aggravated Assault
568,80-12-040577,Wpns Law Violation
569,80-12-063493,Aggravated Assault
570,80-13-074834,Robbery
571,80-13-074834,Robbery
572,80-13-074834,Robbery
573,80-13-074834,Robbery
574,80-13-016625,Wpns Law Violation
575,80-12-055038,Wpns Law Violation
576,80-12-084884,Stolen Property
577,80-13-042850,Aggravated Assault
578,80-12-057145,Narcotics
579,80-12-057145,Narcotics
580,80-12-070832,Wpns Law Violation
581,80-13-055802,Narcotics
582,80-11-087745,Aggravated Assault
583,80-13-017767,Wpns Law Violation
584,80-13-074093,All Other Offenses
585,80-12-022611,Wpns Law Violation
586,80-13-063638,Narcotics
587,80-12-081096,Stolen Property
588,80-12-081096,Stolen Property
589,80-12-069465,Aggravated Assault
590,80-12-055090,Narcotics
591,80-12-067469,Narcotics
592,80-12-067469,Narcotics
593,80-12-067469,Narcotics
594,80-11-006729,Narcotics Equip
595,80-12-045969,Wpns Law Violation
596,80-13-012680,Narcotics
597,80-12-099436,Aggravated Assault
598,80-12-052363,Robbery
599,80-13-041223,Wpns Law Violation
600,80-12-052363,Robbery
601,80-12-052363,Robbery
602,80-12-100573,Narcotics
603,80-12-048977,Wpns Law Violation
604,80-12-048977,Wpns Law Violation
605,80-13-001632,Aggravated Assault
606,80-12-000046,Narcotics
607,80-13-009939,Wpns Law Violation
608,80-12-038189,Wpns Law Violation
609,80-11-010434,Wpns Law Violation
610,80-11-010434,Wpns Law Violation
611,80-13-062101,Burglary
612,80-12-052719,Narcotics
613,80-12-047678,Wpns Law Violation
614,80-12-087512,Wpns Law Violation
615,80-12-025849,Wpns Law Violation
616,80-12-094577,Wpns Law Violation
