dr_id,INCIDENT_NUMBER,LMPD_DIVISION
556,80-16-012124,7TH DIVISION
557,80-16-012695,2ND DIVISION
558,80-16-012695,2ND DIVISION
559,80-16-011716,2ND DIVISION
560,80-16-001240,3RD DIVISION
561,80-16-001240,3RD DIVISION
562,80-16-012168,2ND DIVISION
563,80-16-007929,6TH DIVISION
564,80-16-007929,6TH DIVISION
565,80-16-007929,6TH DIVISION
566,80-16-008290,8TH DIVISION
567,80-16-008291,1ST DIVISION
568,80-16-008293,7TH DIVISION
569,80-16-008189,METRO LOUISVILLE
570,80-16-008189,METRO LOUISVILLE
571,80-16-008317,3RD DIVISION
572,80-16-008318,4TH DIVISION
573,80-16-008309,7TH DIVISION
574,80-16-008338,4TH DIVISION
575,80-16-008343,3RD DIVISION
576,80-16-008226,1ST DIVISION
577,80-16-008434,6TH DIVISION
578,80-16-007596,4TH DIVISION
579,80-16-006901,1ST DIVISION
580,80-16-006759,6TH DIVISION
581,80-16-006759,6TH DIVISION
582,80-16-007499,3RD DIVISION
583,80-16-008305,6TH DIVISION
584,80-16-007288,1ST DIVISION
585,80-16-008371,4TH DIVISION
586,80-16-008103,6TH DIVISION
587,80-16-008103,6TH DIVISION
588,80-16-007915,1ST DIVISION
589,80-16-007062,3RD DIVISION
590,80-16-008449,4TH DIVISION
591,80-16-004032,4TH DIVISION
592,80-16-003943,3RD DIVISION
593,80-16-004041,8TH DIVISION
594,80-16-004049,3RD DIVISION
595,80-16-004016,3RD DIVISION
596,80-16-004027,3RD DIVISION
597,80-16-002967,2ND DIVISION
598,80-16-003739,4TH DIVISION
599,80-16-004225,3RD DIVISION
600,80-16-022781,4TH DIVISION
601,80-16-022806,2ND DIVISION
602,80-16-022826,1ST DIVISION
603,80-16-022842,6TH DIVISION
604,80-16-022730,7TH DIVISION
605,80-16-022843,7TH DIVISION
606,80-16-022714,7TH DIVISION
607,80-16-022915,4TH DIVISION
608,80-16-022590,8TH DIVISION
609,80-16-022590,8TH DIVISION
610,80-16-022913,7TH DIVISION
611,80-16-022253,6TH DIVISION
612,80-16-022682,1ST DIVISION
613,80-16-021857,6TH DIVISION
614,80-16-022945,4TH DIVISION
615,80-16-022557,7TH DIVISION
616,80-16-022704,4TH DIVISION
617,80-16-022944,7TH DIVISION
618,80-16-022899,5TH DIVISION
619,80-16-012777,3RD DIVISION
620,80-16-012805,7TH DIVISION
621,80-16-002639,1ST DIVISION
622,80-16-002638,1ST DIVISION
623,80-16-002660,1ST DIVISION
624,80-16-004129,3RD DIVISION
625,80-16-002660,1ST DIVISION
626,80-16-003454,1ST DIVISION
627,80-16-004065,6TH DIVISION
628,80-16-003239,1ST DIVISION
629,80-16-003239,1ST DIVISION
630,80-16-004058,4TH DIVISION
631,80-16-003171,1ST DIVISION
